Year,Age_Group,Gender,Education_Level,Skills,Work_Experience,Youth_Unemployment_Rate,Employment_Status
2006,15-19,Male,Tertiary,Technical,1-2 years,2.81,Employed
2004,15-19,Male,Primary,Technical,None,4.68,Employed
2021,20-24,Male,Primary,None,3+ years,2.72,Employed
1995,20-24,Male,Primary,Technical,3+ years,6.6,Employed
2025,20-24,Female,Secondary,Technical,None,4.04,Employed
2013,20-24,Male,Primary,None,1-2 years,4.06,Employed
2019,15-19,Male,Tertiary,Vocational,3+ years,4.61,Employed
2001,15-19,Female,Secondary,Technical,None,4.44,Employed
2008,20-24,Male,Tertiary,None,3+ years,7.47,Employed
2002,20-24,Female,Primary,Technical,None,5,Employed
1999,20-24,Female,Primary,Technical,1-2 years,2.49,Employed
2000,15-19,Female,Primary,Vocational,3+ years,5.34,Employed
2007,20-24,Female,Secondary,Technical,None,2.83,Unemployed
1997,20-24,Female,Tertiary,None,3+ years,2.17,Employed
2003,20-24,Female,Secondary,Technical,3+ years,7.34,Employed
1999,15-19,Female,Secondary,Vocational,3+ years,6.25,Employed
2017,15-19,Female,Primary,Vocational,3+ years,7.39,Employed
1992,15-19,Male,Secondary,None,None,4.63,Employed
1995,15-19,Male,Secondary,Vocational,1-2 years,4.93,Employed
2019,15-19,Male,Primary,Technical,None,2.93,Employed
2009,15-19,Male,Secondary,Vocational,None,3.36,Employed
1998,15-19,Female,Primary,None,None,6.61,Employed
1991,15-19,Male,Primary,Vocational,1-2 years,3.96,Employed
2012,20-24,Female,Primary,Vocational,3+ years,6.55,Employed
2007,20-24,Male,Primary,Vocational,3+ years,5.9,Employed
1997,15-19,Male,Secondary,None,3+ years,2.97,Employed
2015,15-19,Male,Primary,Vocational,1-2 years,4.79,Employed
1994,20-24,Female,Primary,Vocational,3+ years,5.73,Employed
1996,15-19,Male,Secondary,Technical,1-2 years,3.29,Employed
2021,15-19,Female,Secondary,None,3+ years,6.57,Employed
2009,15-19,Female,Tertiary,Vocational,3+ years,5,Employed
2017,20-24,Male,Secondary,None,None,2.91,Employed
2000,20-24,Male,Secondary,Vocational,1-2 years,5.21,Employed
2016,20-24,Male,Tertiary,Vocational,None,7.5,Employed
2009,20-24,Female,Secondary,Vocational,None,2.83,Employed
1993,20-24,Male,Secondary,Technical,None,6.49,Employed
2003,15-19,Female,Secondary,Technical,1-2 years,3.14,Unemployed
2018,20-24,Female,Secondary,Technical,1-2 years,6.3,Unemployed
2010,15-19,Male,Tertiary,None,3+ years,6.04,Employed
2018,15-19,Male,Secondary,None,None,3.65,Employed
1998,20-24,Female,Secondary,Technical,3+ years,3.79,Employed
1991,20-24,Female,Tertiary,None,None,6.36,Employed
1993,15-19,Female,Primary,Vocational,1-2 years,4.54,Employed
2003,15-19,Male,Tertiary,Vocational,1-2 years,6.02,Employed
2018,15-19,Female,Primary,Vocational,1-2 years,2.81,Employed
2015,20-24,Male,Tertiary,Technical,None,6.69,Employed
2023,20-24,Female,Tertiary,None,1-2 years,5.91,Employed
1996,20-24,Female,Secondary,Technical,None,6.99,Employed
2022,20-24,Male,Primary,None,3+ years,2.73,Employed
2011,20-24,Female,Secondary,Vocational,None,5.26,Employed
2006,15-19,Male,Primary,Technical,3+ years,5.3,Employed
2011,20-24,Male,Tertiary,None,None,3.94,Employed
2001,15-19,Female,Tertiary,None,3+ years,4.52,Unemployed
2025,15-19,Male,Primary,Vocational,1-2 years,2.21,Employed
